DAC_DONOR,Donor,Donor_Group_Type,Donor_DAC_Country,Donor_DAC_2016_Country,Donor_EU_Country
20005,"All Donors, Total",Group,Group,Group,Group
20001,"DAC Countries, Total",Group,Group,Group,Group
801,Australia,Donor,DAC,DAC,Non-EU
1,Austria,Donor,DAC,DAC,EU
2,Belgium,Donor,DAC,DAC,EU
301,Canada,Donor,DAC,DAC,Non-EU
3,Denmark,Donor,DAC,DAC,EU
18,Finland,Donor,DAC,DAC,EU
4,France,Donor,DAC,DAC,EU
5,Germany,Donor,DAC,DAC,EU
40,Greece,Donor,DAC,DAC,EU
21,Ireland,Donor,DAC,DAC,EU
6,Italy,Donor,DAC,DAC,EU
701,Japan,Donor,DAC,DAC,Non-EU
742,Korea,Donor,DAC,DAC,Non-EU
22,Luxembourg,Donor,DAC,DAC,EU
7,Netherlands,Donor,DAC,DAC,EU
820,New Zealand,Donor,DAC,DAC,Non-EU
8,Norway,Donor,DAC,DAC,Non-EU
9,Portugal,Donor,DAC,DAC,EU
50,Spain,Donor,DAC,DAC,EU
10,Sweden,Donor,DAC,DAC,EU
11,Switzerland,Donor,DAC,DAC,Non-EU
12,United Kingdom,Donor,DAC,DAC,EU
302,United States,Donor,DAC,DAC,Non-EU
20002,"Multilaterals, Total",Group,Group,Group,Group
913,African Development Bank [AfDB],,,,
20016,"African Development Bank, Total",,,,
20022,"Regional Development Banks, Total",,,,
914,African Development Fund [AfDF],,,,
921,Arab Fund (AFESD),,,,
20034,"Other Multilateral, Total",,,,
916,AsDB Special Funds,,,,
20015,"Asian Development Bank, Total",,,,
953,Arab Bank for Economic Development in Africa [BADEA],,,,
906,Caribbean Development Bank [CarDB],,,,
990,European Bank for Reconstruction and Development [EBRD],,,,
918,EU Institutions,Donor,Non-DAC,Non-DAC,EU
1311,Global Alliance for Vaccines and Immunization [GAVI],,,,
811,Global Environment Facility [GEF],,,,
1312,Global Fund,,,,
944,International Atomic Energy Agency [IAEA],,,,
20021,"United Nations, Total",,,,
901,International Bank for Reconstruction and Development [IBRD],,,,
20033,"World Bank, Total",,,,
20012,World Bank Group,,,,
905,International Development Association [IDA],,,,
912,IDB Special Fund,,,,
20014,"Inter-American Development Bank, Total",,,,
988,IFAD,,,,
903,International Finance Corporation [IFC],,,,
958,IMF (Concessional Trust Funds),,,,
20013,"International Monetary Fund, Total",,,,
976,Islamic Development Bank [IsDB],,,,
812,Montreal Protocol,,,,
104,Nordic Development Fund [NDF],,,,
951,OPEC Fund for International Development [OFID],,,,
978,OSCE,,,,
971,UNAIDS,,,,
959,UNDP,,,,
948,UNECE,,,,
974,UNFPA,,,,
967,UNHCR,,,,
963,UNICEF,,,,
923,UN Peacebuilding Fund [UNPBF],,,,
964,UNRWA,,,,
960,UNTA,,,,
966,WFP,,,,
928,World Health Organisation [WHO],,,,
20018,Other Multilaterals,,,,
20006,"Non-DAC Countries, Total",Group,Group,Group,Group
72,Bulgaria,Donor,Non-DAC,Non-DAC,EU
732,Chinese Taipei,Donor,Non-DAC,Non-DAC,Non-EU
30,Cyprus,Donor,Non-DAC,Non-DAC,EU
68,Czech Republic,Donor,DAC,DAC,EU
82,Estonia,Donor,Non-DAC,Non-DAC,EU
75,Hungary,Donor,Non-DAC,DAC,EU
20,Iceland,Donor,DAC,DAC,Non-EU
546,Israel,Donor,Non-DAC,Non-DAC,Non-EU
552,Kuwait (KFAED),Donor,Non-DAC,Non-DAC,Non-EU
83,Latvia,Donor,Non-DAC,Non-DAC,EU
70,Liechtenstein,Donor,Non-DAC,Non-DAC,EU
84,Lithuania,Donor,Non-DAC,Non-DAC,EU
45,Malta,Donor,Non-DAC,Non-DAC,EU
76,Poland,Donor,DAC,DAC,EU
77,Romania,Donor,Non-DAC,Non-DAC,EU
87,Russia,Donor,Non-DAC,Non-DAC,Non-EU
566,Saudi Arabia,Donor,Non-DAC,Non-DAC,Non-EU
69,Slovak Republic,Donor,DAC,DAC,EU
61,Slovenia,Donor,DAC,DAC,EU
764,Thailand,Donor,Non-DAC,Non-DAC,Non-EU
55,Turkey,Donor,Non-DAC,Non-DAC,Non-EU
576,United Arab Emirates,Donor,Non-DAC,Non-DAC,Non-EU
20007,Other donor countries,Group,Group,Group,Group
21600,"Memo: Private Donors, Total",,,,
1601,Bill & Melinda Gates Foundation,,,,
20003,"G7 Countries, Total",Group,Group,Group,Group
20011,"DAC EU Members, Total",Group,Group,Group,Group
20004,"DAC EU Members + EC, Total",,,,
807,UNEP,,,,
1313,Global Green Growth Institute [GGGI],,,,
62,Croatia,Donor,Non-DAC,Non-DAC,EU
1012,Adaptation Fund,,,,
1011,Climate Investment Funds [CIF],,,,
1013,Council of Europe Development Bank [CEB],,,,
932,Food and Agriculture Organisation [FAO],,,,
613,Kazakhstan,Donor,Non-DAC,Non-DAC,Non-EU
765,Timor Leste,Donor,Non-DAC,Non-DAC,Non-EU
940,International Labour Organisation [ILO],,,,
611,Azerbaijan,,,,
